Institution,State,Tier,Mission,Mission MMJ,Size,Growth,Year,Property Plant Equip,Construction in Progress,K.Land,K.Buildings,K.Library,K.Other Prop Plant Equip,Plant and Equipment,Leasehold Improvements,Leased Plant Equip,Infrastructure,Other Property Plant and Equipment,Investment Property,Intang Assets,Other Non-Current Non-Financial Assets,Total Expenses,Total Benefits,Academic Benefits,Non Academic Benefits,Depreciation and Amortisation,Rep and Maint,Other Exp,Schol Grants Prizes,Non-Capitalised Equipment,"Advertising, Marketing and Promotional Expenses","Net Loss on Disposal of Property, Plant and Equipment",Other Expenditure,Equivalent FT Load,Equivalent FTL Course,Completion Count,Adjusted FT Load,SciVal All Pubs,Pubs herdc,Research Rev,RHD Completions,RTS Weighted Comp
University of Adelaide,SA,1,Go8,Go8,Medium,Medium,2007,674601,33653,186656,368050,34744,51498,34553,11845,0,0,5100,21307,379,43472,464119,270910,150335,120575,20856,31894,139659,23702,8690,3234,0,104033,16014,14364,4958,19322,2156,1907,115770735,270,1032
University of Adelaide,SA,1,Go8,Go8,Medium,Medium,2008,754698,50859,186606,432477,33539,51217,33468,10215,0,0,7534,21027,1225,44838,557040,306694,171056,135638,23385,32800,158387,25369,8259,3447,0,121312,16855,15191,5022,20213,2258,1882,145062629,298,1139
University of Adelaide,SA,1,Go8,Go8,Medium,Medium,2009,874696,149251,186606,453299,32141,53399,33378,12454,0,0,7567,19252,1664,52886,548135,310756,172080,138676,25958,36090,170301,28036,9232,3511,0,129522,17541,15848,4965,20813,2492,2021,145880145,257,943
University of Adelaide,SA,1,Go8,Go8,Medium,Medium,2010,985183,41338,216822,639147,27166,60710,41882,11217,0,0,7611,18685,19064,58574,616768,342828,189520,153308,29784,41005,198811,31309,12239,4074,0,151189,18872,17065,5681,22746,2591,1798,164712581,306,1159
University of Adelaide,SA,1,Go8,Go8,Medium,Medium,2011,1043515,43181,216822,695082,25513,62917,45916,9348,0,0,7653,18995,17239,71032,683426,386007,217141,168866,38867,46350,204704,34595,9656,4845,0,155608,19600,17828,5884,23712,2915,1763,170027354,294,1119
University of Adelaide,SA,1,Go8,Go8,Medium,Medium,2012,1104258,101068,218212,694707,23434,66837,51683,7486,0,0,7668,17970,17044,1165,719225,404567,228300,176267,41773,52669,211758,38354,11050,3452,0,158902,20033,18155,6010,24165,3490,2091,181172432,305,1137
University of Adelaide,SA,1,Go8,Go8,Medium,Medium,2013,1159189,15878,220878,826480,21662,74291,58555,8066,0,0,7670,20402,15354,4030,753333,427702,238689,189013,45454,55718,216595,40754,10673,4636,1705,158827,20768,18691,6301,24992,3705,2173,183231604,333,1244
University of Adelaide,SA,1,Go8,Go8,Medium,Medium,2014,1154975,35871,200221,815194,19880,83809,66366,9675,0,0,7768,0,18007,8141,785943,462768,256417,206351,47039,58276,209644,41709,13045,4317,1300,149273,21409,19059,6460,25519,4101,2362,182082440,386,1419
University of Adelaide,SA,1,Go8,Go8,Medium,Medium,2015,1218256,91425,199024,822641,18141,87025,69098,10126,0,0,7801,0,20730,7899,819693,470708,260640,210068,48529,31791,263151,42952,10697,4449,0,205053,21247,19288,6310,25598,4378,0,170386371,401,1457
University of Canberra,ACT,3,OTR,NGU,Small,Medium,2006,276404,14242,0,217823,8305,36034,4697,0,0,0,31337,6503,3690,17,125190,80613,39176,41437,8586,1473,34338,1284,1627,1058,0,30369,7361,7106,3205,10311,230,356,5904523,44,98
University of Canberra,ACT,3,OTR,NGU,Small,Medium,2007,268907,3944,23240,222609,8305,10809,3607,0,0,0,7202,7899,5657,0,139027,85687,39935,45752,9961,1449,39057,1290,1501,717,0,35549,7363,7080,2861,9941,275,354,8860862,54,138
University of Canberra,ACT,3,OTR,NGU,Small,Medium,2008,260730,2195,23240,221375,4425,9495,3132,0,0,0,6363,7662,3628,0,137538,87780,46632,41148,9889,1062,38424,1666,1158,1379,0,34221,7523,7178,2911,10089,268,480,12383429,33,86
University of Canberra,ACT,3,OTR,NGU,Small,Medium,2009,291831,10491,28620,236110,4036,12574,4092,0,0,0,8482,7039,2264,0,156542,101148,54442,46706,9583,1971,42342,2002,1087,1508,0,37745,8556,8157,2831,10988,275,403,11589824,26,70
University of Canberra,ACT,3,OTR,NGU,Small,Medium,2010,299743,25573,28620,228501,3655,13394,5614,0,0,0,7780,6720,1951,0,168797,108651,58059,50592,8448,3090,46383,1775,1962,1336,0,41310,9864,9372,3426,12798,320,354,16162648,42,110
University of Canberra,ACT,3,OTR,NGU,Small,Medium,2011,356110,31840,35128,256619,3266,29257,20008,0,0,7523,1726,6400,5735,0,183265,114903,64294,50609,11797,3224,50527,1757,2802,1710,0,44258,10929,10365,3617,13982,439,491,17131124,36,77
University of Canberra,ACT,3,OTR,NGU,Small,Medium,2012,382071,23248,35835,273489,2878,46621,32299,0,0,12576,1746,0,5641,0,212027,127564,71124,56440,14693,4459,63162,1467,1881,1948,0,57866,11217,10550,4085,14635,470,535,17255483,48,121
University of Canberra,ACT,3,OTR,NGU,Small,Medium,2013,465106,99686,35835,282807,1206,45572,32260,0,0,11540,1772,0,5217,0,227524,137100,75933,61167,15305,3065,69631,1405,1743,1529,81,64873,11342,10636,3951,14587,644,592,14033256,62,155
University of Canberra,ACT,3,OTR,NGU,Small,Medium,2014,473646,7255,41961,344567,1134,78729,57625,0,0,19288,1816,0,9652,0,260011,151969,81691,70278,17961,4744,75011,1256,2055,2300,0,69400,11757,11024,3840,14864,730,611,14527927,61,153
University of Canberra,ACT,3,OTR,NGU,Small,Medium,2015,532909,13280,47360,407297,1062,63910,38197,0,0,23925,1788,0,9707,0,269499,149472,79222,70250,19950,4646,90118,2587,1073,1391,0,85067,11781,11113,3888,15001,781,0,13579643,74,190
University of South Australia,SA,2,ATN,ATN,Medium,Negative,2006,479901,33091,48540,358525,16768,22977,18119,2643,1186,0,1029,0,948,282400,355455,227875,128977.05,98897.95,20902,8382,96629,11635,2836,3336,0,78822,22523,21440,8093,29533,867,1084,40271761,144,405
University of South Australia,SA,2,ATN,ATN,Medium,Negative,2007,572333,10879,87740,432169,17728,23817,20218,2244,0,0,1355,0,2378,275300,389724,252825,147516,105309,23260,6740,107316,15457,3661,4228,0,83970,23301,22195,8285,30480,897,1148,45650741,142,389
University of South Australia,SA,2,ATN,ATN,Medium,Negative,2008,585222,6246,87740,446579,16295,28362,25157,1872,0,0,1333,0,5638,279100,433537,278476,159221,119255,24293,7564,122223,18959,4284,5522,0,93458,24408,23244,8901,32145,1073,1234,54766771,135,349
University of South Australia,SA,2,ATN,ATN,Medium,Negative,2009,610551,19086,93887,448755,15654,33169,30270,1538,0,0,1361,0,5553,330600,422503,258732,148855,109877,26525,8385,128657,20771,4127,6241,0,97518,25178,23892,9421,33313,1199,1324,57239233,136,398
University of South Australia,SA,2,ATN,ATN,Medium,Negative,2010,661984,21466,114900,472876,14291,38451,33759,3157,0,0,1535,0,6251,358300,439638,277669,157652,120017,27548,8708,125359,19688,4198,6712,0,94761,25093,23830,9045,32875,1368,1390,60710399,175,523
University of South Australia,SA,2,ATN,ATN,Medium,Negative,2011,716911,11450,126296,481972,15779,81414,38648,2569,0,38631,1566,0,6980,435900,476942,302731,171183,131548,29261,9302,135562,21216,5417,6377,0,102552,24433,23053,8969,32022,1501,1439,62525224,158,389
University of South Australia,SA,2,ATN,ATN,Medium,Negative,2012,730533,32663,126296,478029,13120,80425,37796,2208,0,38827,1594,0,5836,0,512439,317126,178587,138539,31662,10442,152808,22586,5217,6860,0,118145,23570,22094,8409,30503,1765,1490,59804414,173,448
University of South Australia,SA,2,ATN,ATN,Medium,Negative,2013,793701,77843,128030,487001,13737,87090,37662,2772,0,43377,3279,0,4173,0,532138,336539,189495,147044,31714,11115,152302,25056,6158,6693,0,114395,23221,21654,8417,30071,2024,1649,66676942,212,628
University of South Australia,SA,2,ATN,ATN,Medium,Negative,2014,803610,12160,137306,551449,13766,88929,37573,5255,0,42802,3299,0,3145,0,555868,348593,192537,156056,32132,19667,155047,23376,5182,6867,0,119622,22496,20876,8012,28888,2152,1607,71810567,180,515
University of South Australia,SA,2,ATN,ATN,Medium,Negative,2015,808473,35301,131846,547525,13034,80767,34415,1893,0,41147,3312,0,3727,0,551683,347884,191135,156749,32404,17118,153931,22923,6939,6714,0,117355,22250,20781,7259,28040,2271,0,63781632,203,632
University of Southern Queensland,QLD,3,RUN,RUN,Medium,Slow,2006,224568,943,22000,183769,0,17856,12057,5326,0,0,473,0,0,0,154997,99390,47913,51477,7699,1273,46611,4106,4764,3202,0,34539,12268,11393,4559,15952,220,345,4477558,29,59
University of Southern Queensland,QLD,3,RUN,RUN,Medium,Slow,2007,240498,1315,24500,194630,0,20053,12589,6393,0,0,1071,0,0,0,166614,109884,52713,57171,8232,2337,46061,4329,3163,2705,0,35864,12133,11285,5136,16421,210,345,5035777,43,126
University of Southern Queensland,QLD,3,RUN,RUN,Medium,Slow,2008,259011,1564,25147,194393,0,37907,13092,6359,0,0,18456,0,1662,0,188627,113074,52269,60805,8849,3236,63255,5291,3454,4559,0,49951,12245,11425,4865,16290,291,371,5223391,40,87
University of Southern Queensland,QLD,3,RUN,RUN,Medium,Slow,2009,270396,1789,26900,202911,0,38796,14845,6246,0,0,17705,0,8496,0,193788,117089,54712,62377,10015,3179,63357,5851,4189,4907,0,48410,12957,11948,5277,17225,323,347,5937344,65,175
University of Southern Queensland,QLD,3,RUN,RUN,Medium,Slow,2010,315107,5676,30850,239127,0,39454,14852,6246,0,0,18356,0,6707,0,210440,132342,62211,70131,11589,4459,61720,5543,3899,5090,0,47188,13264,11952,4737,16689,432,346,6978754,61,146
University of Southern Queensland,QLD,3,RUN,RUN,Medium,Slow,2011,337766,5555,31150,259852,0,41209,15890,6246,0,17823,1250,0,4918,0,214452,139828,65916,73912,8593,3749,62277,5975,3100,4934,0,48268,13391,12068,4204,16272,462,449,8060940,47,130
University of Southern Queensland,QLD,3,RUN,RUN,Medium,Slow,2012,407629,4104,41515,323416,0,38594,16179,0,0,21030,1385,0,3724,0,230501,150555,70241,80314,9142,4403,65343,6822,4903,5431,0,48187,14028,12652,4728,17380,512,505,8783464,78,205
University of Southern Queensland,QLD,3,RUN,RUN,Medium,Slow,2013,357338,4065,31500,278183,0,43590,15232,625,0,26172,1561,0,3368,0,249506,170656,79189,91467,9670,4444,63742,6636,4042,5159,166,47739,13770,12356,4506,16862,530,527,8671378,64,195
University of Southern Queensland,QLD,3,RUN,RUN,Medium,Slow,2014,392293,36921,32820,279113,0,43439,14919,593,0,25960,1967,0,1584,0,260119,173291,81471,91820,13895,5000,67335,7055,5679,4954,42,49605,14389,12884,4508,17392,497,375,11352852,70,200
University of Southern Queensland,QLD,3,RUN,RUN,Medium,Slow,2015,457373,2165,42592,362956,0,49660,16960,0,0,30698,2002,0,2212,0,288067,193135,90455,102680,14765,5376,73668,8047,4867,5322,161,55271,14753,13172,4555,17727,579,0,14753560,60,180
University of Tasmania,TAS,2,OTR,OTR,Medium,Fast,2006,355527,23628,41976,205540,38398,45985,15545,23917,0,0,6523,2763,1000,0,269787,155543,84042,71501,16020,11618,86035,15512,6127,3057,0,61339,13246,12077,3831,15908,885,784,60532291,159,536
University of Tasmania,TAS,2,OTR,OTR,Medium,Fast,2007,358582,12893,44408,208928,38593,53760,17331,29749,0,0,6680,2763,1000,0,329699,189307,102001,87306,17031,14903,107716,17871,10439,3859,0,75547,13433,12232,4005,16237,1111,856,63718793,129,430
University of Tasmania,TAS,2,OTR,OTR,Medium,Fast,2008,437651,41630,51068,244729,37828,62396,26606,29079,0,0,6711,2058,1000,0,389494,206407,113740,92667,16732,16509,124979,18924,8786,4333,0,92936,14460,13238,3918,17156,1133,893,70609233,140,445
University of Tasmania,TAS,2,OTR,OTR,Medium,Fast,2009,474501,76564,56124,238632,37792,65389,30420,28170,0,0,6799,2058,3110,0,391026,218530,118719,99811,17703,18006,136826,20391,12691,4359,0,99385,15178,13921,4144,18065,1161,874,67848090,192,647
University of Tasmania,TAS,2,OTR,OTR,Medium,Fast,2010,533710,36928,60762,325343,36305,74372,36297,30516,0,0,7559,0,4416,0,421316,242735,135208,107527,19703,14417,144337,20372,8394,7428,0,108143,16191,14952,4636,19588,1240,817,75433811,217,743
University of Tasmania,TAS,2,OTR,OTR,Medium,Fast,2011,557511,46525,68745,337943,34395,69903,39398,22903,0,0,7602,0,18902,0,450057,261412,144882,116530,20084,16362,152126,20402,9918,7235,0,114571,16412,15170,4748,19918,1477,1022,79392769,180,609
University of Tasmania,TAS,2,OTR,OTR,Medium,Fast,2012,618660,27932,68110,403809,32460,86349,45615,33000,0,0,7734,0,28888,0,496856,298993,163865,135128,22149,16380,158417,19641,9246,6959,0,122571,17005,15679,4853,20532,1583,1201,95243493,204,712
University of Tasmania,TAS,2,OTR,OTR,Medium,Fast,2013,664889,22408,69912,450302,30002,92265,50632,33331,0,0,8302,0,34923,0,499897,299630,164417,135213,25407,17143,157497,19352,9299,7336,151,121359,18307,16745,5584,22329,1740,1362,90097316,178,592
University of Tasmania,TAS,2,OTR,OTR,Medium,Fast,2014,687051,31522,74962,458558,27660,94349,53732,32344,0,0,8273,0,46814,0,544512,321269,167439,153830,28465,13779,179873,21704,11632,9360,-86,137263,18894,17238,5145,22383,1993,1370,97052806,166,600
University of Tasmania,TAS,2,OTR,OTR,Medium,Fast,2015,744502,61393,88458,494830,16287,83534,53832,21177,0,0,8525,0,47762,0,582354,332145,174028,158117,30966,14702,192122,24555,12400,9924,9796,135447,19710,17992,5850,23842,2199,0,105976037,181,618
"University of Technology, Sydney",NSW,2,ATN,ATN,Medium,Slow,2006,860356,4655,299544,486436,19820,49901,21892,8,4902,0,23099,0,17909,0,374058,229572,116753,112819,40311,10118,89464,10519,5121,1799,0,72025,23065,21839,9025,30864,1035,1087,23518593,163,414
"University of Technology, Sydney",NSW,2,ATN,ATN,Medium,Slow,2007,939696,11521,349952,532723,19297,26203,19362,0,5235,0,1606,0,17944,200,392421,238376,120530,117846,47881,8344,92903,12036,5020,2159,0,73688,22745,21610,8159,29769,1129,1124,26665014,161,404
"University of Technology, Sydney",NSW,2,ATN,ATN,Medium,Slow,2008,915918,7343,324967,533220,18502,31886,22646,2100,5533,0,1607,0,16225,179,422676,257098,130879,126219,49210,9194,104370,13876,4442,3002,0,83050,22879,21834,8740,30574,1187,1021,23888216,186,487
"University of Technology, Sydney",NSW,2,ATN,ATN,Medium,Slow,2009,946179,11316,335622,546330,17609,35302,25350,1489,6163,0,2300,0,17241,273,457863,277526,141276,136250,51551,8439,117139,15764,4880,3657,0,92838,23962,23026,8564,31590,1197,1088,26082271,194,521
"University of Technology, Sydney",NSW,2,ATN,ATN,Medium,Slow,2010,978364,78017,295510,555281,16832,32724,23838,573,5951,0,2362,0,17691,147,506808,305768,155195,150573,52466,9160,132326,18690,5363,4364,0,103909,24494,23303,9112,32415,1395,1185,31177168,167,434
"University of Technology, Sydney",NSW,2,ATN,ATN,Medium,Slow,2011,1114311,68682,349404,460075,16245,219905,33718,337,6028,177412,2410,0,18375,514,560334,339728,172098,167630,55371,9486,151961,18787,5509,3784,0,123881,25756,24168,9465,33633,1642,1228,36045559,161,419
"University of Technology, Sydney",NSW,2,ATN,ATN,Medium,Slow,2012,1213818,152904,356520,461392,15960,227042,36990,529,5946,181167,2410,0,20836,607,580899,350612,176964,173648,58501,8937,159388,21200,4883,3630,0,129675,25749,24221,9115,33336,1992,1384,39333099,152,411
"University of Technology, Sydney",NSW,2,ATN,ATN,Medium,Slow,2013,1478850,399306,356754,465855,15429,241506,33979,1164,5375,198643,2345,0,21649,165,605398,364450,185164,179286,57839,9672,168482,23028,4283,3833,0,137338,26612,24862,9354,34216,2258,1477,42311719,204,576
"University of Technology, Sydney",NSW,2,ATN,ATN,Medium,Slow,2014,1634385,9462,396856,808456,14535,405076,68331,661,6052,327502,2530,0,23158,820,661465,397724,199888,197836,61318,10712,186755,23597,5257,5557,0,152344,27726,25977,9754,35731,2345,1583,46868921,206,599
"University of Technology, Sydney",NSW,2,ATN,ATN,Medium,Slow,2015,1695096,18947,445147,799026,14059,417917,83540,919,6870,324058,2530,0,24146,570,720826,418369,217710,200659,73817,15390,199759,25742,5352,5216,248,163201,29356,27279,9430,36709,2562,0,53924877,218,660
University of the Sunshine Coast,QLD,3,RUN,RUN,Small,Fast,2006,126831,16613,17300,81860,25,11033,187,14,1220,0,9612,0,0,0,61428,35542,16190,19352,3229,1445,19741,2433,3877,680,0,12751,3729,3358,1053,4411,47,119,1023803,9,18
University of the Sunshine Coast,QLD,3,RUN,RUN,Small,Fast,2007,146555,4995,17300,111831,25,12404,4283,11,0,0,8110,0,240,0,70889,43225,20077,23148,4507,1478,20050,3933,2756,806,0,12555,4150,3603,1221,4824,85,122,2049559,11,24
University of the Sunshine Coast,QLD,3,RUN,RUN,Small,Fast,2008,165310,95,18500,133149,25,13541,4867,225,0,0,8449,0,2828,213,81694,49991,23631,26360,5393,1894,22800,4959,3655,1034,0,13152,4593,3947,1271,5218,114,201,2377018,10,20
University of the Sunshine Coast,QLD,3,RUN,RUN,Small,Fast,2009,169397,757,19900,134811,25,13904,4651,370,0,0,8883,0,3316,488,91566,55088,25704,29384,6949,2313,25586,6207,3541,1439,0,14399,5326,4530,1266,5796,162,178,3063396,25,66
University of the Sunshine Coast,QLD,3,RUN,RUN,Small,Fast,2010,167165,4660,16915,130828,25,14737,4987,517,0,0,9233,0,2901,479,104759,63853,31028,32825,6772,3712,28859,6376,3445,1247,0,17791,6052,5120,1428,6548,187,167,3885519,17,44
University of the Sunshine Coast,QLD,3,RUN,RUN,Small,Fast,2011,175343,5035,16915,135100,25,18268,5225,444,0,11318,1281,0,1990,161,118085,72490,34213,38277,7490,4410,32533,6912,4262,1526,0,19833,6357,5542,1466,7008,207,165,2993628,21,56
University of the Sunshine Coast,QLD,3,RUN,RUN,Small,Fast,2012,176296,5790,15224,136927,25,18330,5622,375,0,11025,1308,0,1079,64,134291,82358,39559,42799,7881,4112,38870,9633,4059,1932,0,23246,6728,5875,1494,7369,253,199,7032451,22,60
University of the Sunshine Coast,QLD,3,RUN,RUN,Small,Fast,2013,196059,21339,15224,136228,25,23243,8541,306,0,11845,2551,0,1651,139,153647,96018,46058,49960,8473,4130,44150,10458,5242,2131,81,26238,7328,6448,1697,8145,329,250,7019627,24,73
University of the Sunshine Coast,QLD,3,RUN,RUN,Small,Fast,2014,255383,25597,20900,172515,0,36371,13956,445,0,19064,2906,0,1657,334,176834,109024,51975,57049,8983,4419,53552,12724,6125,2722,-17,31998,7989,7106,1678,8784,488,324,8736547,21,48
University of the Sunshine Coast,QLD,3,RUN,RUN,Small,Fast,2015,297372,5534,21950,226134,0,43754,16777,1484,0,21479,4014,0,3251,395,200618,121830,58802,63028,8930,6640,62346,15768,6200,2922,11,37445,8701,7836,1977,9813,529,0,14683066,30,96
University of Western Sydney,NSW,3,OTR,NGU,Large,Medium,2006,670042,15279,160930,327035,13900,152898,31016,499,0,0,121383,13231,0,1529,341173,210127,109491,100636,22250,15583,89843,10363,3373,3445,0,72662,23942,23050,7898,30948,498,1074,12660450,113,322
University of Western Sydney,NSW,3,OTR,NGU,Large,Medium,2007,795051,56416,353500,338855,12700,33580,30882,317,0,0,2381,0,0,2656,378116,239375,129532,109843,23755,13788,98510,10433,3823,3946,0,80308,23988,23156,8015,31171,584,936,18127164,133,371
University of Western Sydney,NSW,3,OTR,NGU,Large,Medium,2008,856034,34569,361829,408027,12451,39158,35939,759,0,0,2460,0,69,132,411009,255535,133915,121620,25597,12812,109303,11170,4592,4946,0,88595,24503,23478,7858,31336,760,978,17583304,114,294
University of Western Sydney,NSW,3,OTR,NGU,Large,Medium,2009,932859,56707,362250,457056,11742,45104,41167,1419,0,0,2518,0,241,128,448552,265407,134878,130529,27319,17381,129371,15224,3723,6208,0,104216,26082,24960,7831,32791,913,1153,15892366,111,276
University of Western Sydney,NSW,3,OTR,NGU,Large,Medium,2010,1257812,86396,404520,703348,11145,52403,48636,876,0,0,2891,0,186,208,462309,282374,146044,136330,30421,21877,126409,12143,6053,6687,0,101526,28394,27132,8504,35636,1014,1147,18731075,90,251
University of Western Sydney,NSW,3,OTR,NGU,Large,Medium,2011,1305565,80656,377520,734356,11604,101429,44876,548,0,53010,2995,0,131,363,509771,310383,161880,148503,31195,23684,141897,17257,6270,7076,0,111294,29670,28419,8365,36784,1229,1219,17710726,111,275
University of Western Sydney,NSW,3,OTR,NGU,Large,Medium,2012,1387146,44596,377520,842791,11921,110318,44777,295,0,62163,3083,0,76,358,571967,338375,180772,157603,34242,25018,158112,17523,5344,6959,0,128286,30132,28889,8179,37068,1462,1241,21275735,108,283
University of Western Sydney,NSW,3,OTR,NGU,Large,Medium,2013,1369512,98323,365671,774130,12000,119388,47325,42,0,69210,2811,0,21,425,645499,355847,181347,174500,33690,25168,228504,18064,6321,8499,40776,154844,31368,29914,9032,38946,1769,1474,22299968,156,402
University of Western Sydney,NSW,3,OTR,NGU,Large,Medium,2014,1450639,106889,349671,825344,10435,158300,60063,13872,0,81337,3028,0,2266,1457,635281,370306,186000,184306,35912,23827,202213,15549,4888,10160,0,171616,32919,31047,8889,39936,1729,1341,26230746,122,342
University of Western Sydney,NSW,3,OTR,NGU,Large,Medium,2015,1516756,58778,376931,910661,8894,161492,59895,13062,0,85395,3140,0,5061,1916,688444,389684,195291,194393,38921,29847,228134,18652,4173,11700,0,193609,33664,32000,8817,40817,1788,0,25997665,150,440
University of Wollongong,NSW,2,OTR,OTR,Medium,Medium,2006,398243,4055,59296,280581,11042,43269,23824,0,0,0,19445,0,266,12004,275270,150331,86707,63624,23551,8595,91461,11320,4069,582,0,75490,15846,14505,5448,19953,1157,1185,31982509,153,460
University of Wollongong,NSW,2,OTR,OTR,Medium,Medium,2007,431590,31276,61120,283163,10638,45393,25546,0,0,0,19847,0,913,14108,292499,167652,96490,71162,20016,10649,93242,13093,4340,464,0,75345,16351,14925,5753,20678,1348,1376,32228654,161,444
University of Wollongong,NSW,2,OTR,OTR,Medium,Medium,2008,481565,9669,61120,346271,9081,55424,33728,0,0,0,21696,0,1558,3214,354686,187573,107609,79964,22564,8265,110503,14559,4601,860,0,90483,17378,15864,6060,21924,1361,1249,35928245,173,476
University of Wollongong,NSW,2,OTR,OTR,Medium,Medium,2009,524974,53892,61120,343802,8523,57637,33195,0,0,0,24442,0,640,7112,364681,200068,113853,86215,22310,10376,127134,17558,3869,1106,0,104601,19180,17558,5853,23411,1499,1374,45678704,195,528
University of Wollongong,NSW,2,OTR,OTR,Medium,Medium,2010,602722,90118,61120,375846,7862,67776,40765,0,0,0,27011,0,382,6046,398330,219434,127043,92391,23059,10844,140826,20677,4458,1047,0,114644,20732,18953,6824,25777,1593,1279,47245164,168,507
University of Wollongong,NSW,2,OTR,OTR,Medium,Medium,2011,617209,12003,62490,457207,7636,77873,11996,0,0,34455,31422,35002,128,3238,455616,250696,152081,98615,26606,13150,158781,22682,5740,944,0,129415,21259,19421,7097,26518,1696,1258,54478235,227,720
University of Wollongong,NSW,2,OTR,OTR,Medium,Medium,2012,651519,52309,63160,444128,7076,84846,47046,0,0,0,37800,34109,15,5641,480696,272250,160128,112122,28162,11516,163336,26446,4600,977,0,131313,22040,20108,6691,26799,1937,1441,55170485,227,642
University of Wollongong,NSW,2,OTR,OTR,Medium,Medium,2013,693237,32210,63483,502545,5877,89122,49804,1319,0,0,37999,33218,1195,9645,507127,301799,170572,131227,32374,8490,155448,29171,4095,2706,1820,117656,23006,21035,6914,27949,2265,1652,56947784,273,824
University of Wollongong,NSW,2,OTR,OTR,Medium,Medium,2014,723219,33432,66078,526005,3780,93924,52579,1948,0,0,39397,32327,5522,1651,533230,316811,181249,135562,34991,7591,166100,31360,3000,3388,2650,125702,23537,21604,7154,28758,2441,1709,63713054,289,932
University of Wollongong,NSW,2,OTR,OTR,Medium,Medium,2015,647032,24866,66488,451453,2148,102077,60533,1680,0,0,39864,31436,4479,1249,528374,322833,183536,139297,35520,6522,159102,32785,3010,3660,0,119647,23740,21845,6394,28239,2516,0,53985762,272,887
Victoria University,VIC,3,OTR,NGU,Medium,Medium,2006,540558,0,96353,419872,10975,13358,13160,0,0,0,198,0,746,0,315909,208348,120438,87910,16141,15015,76365,8396,6213,4334,0,57422,14461,13740,3998,17738,340,614,7927082,43,119
Victoria University,VIC,3,OTR,NGU,Medium,Medium,2007,567332,0,111763,427373,11222,16974,16677,86,0,0,211,0,935,0,328787,216440,123751,92689,16716,16480,78893,8923,6922,4738,0,58310,15084,14313,3969,18282,420,655,7274713,63,160
Victoria University,VIC,3,OTR,NGU,Medium,Medium,2008,575710,0,115030,430773,10995,18912,18202,180,0,0,530,0,2557,0,359137,239256,133655,105601,17497,16146,86201,9873,7144,5163,0,64021,15165,14391,4648,19039,435,651,10078876,91,257
Victoria University,VIC,3,OTR,NGU,Medium,Medium,2009,612973,49315,115030,417988,10187,20453,19534,386,0,0,533,0,8245,5397,374199,249128,132596,116532,17997,17457,89576,9016,5838,4884,0,69838,16602,15711,4683,20394,531,704,10834203,78,208
Victoria University,VIC,3,OTR,NGU,Medium,Medium,2010,668287,77460,135798,420030,9415,25584,22518,2512,0,0,554,0,24259,5111,406467,268226,143379,124847,19662,18640,99630,9948,7603,5334,0,76745,18079,17081,5138,22219,558,680,10667881,92,244
Victoria University,VIC,3,OTR,NGU,Medium,Medium,2011,671144,21731,135798,474358,9192,30065,27108,2379,0,0,578,0,39466,11824,446337,293504,149764,143740,23752,18426,110783,8875,6133,6475,0,89300,18373,17427,6421,23848,641,620,12005159,77,216
Victoria University,VIC,3,OTR,NGU,Medium,Medium,2012,799920,18859,195611,551507,8708,25235,22857,1904,0,0,474,0,43687,10840,473440,328354,164682,163672,28266,13995,100514,9205,2967,5744,0,82598,19142,17977,5379,23356,694,664,14023902,87,236
Victoria University,VIC,3,OTR,NGU,Medium,Medium,2013,718604,9955,164858,508360,8790,26641,23980,2178,0,0,483,0,47450,9828,428004,272699,146187,126512,31163,14490,103667,9071,3300,5052,0,86244,19719,18673,5158,23831,768,632,13365271,73,179
Victoria University,VIC,3,OTR,NGU,Medium,Medium,2014,712545,15354,159716,500151,9141,28183,25816,1872,0,0,495,0,55332,8991,436463,286691,157388,129303,29092,14957,104983,9228,2407,6705,0,86643,19998,18947,5627,24574,846,625,18016560,115,309
Victoria University,VIC,3,OTR,NGU,Medium,Medium,2015,784367,55766,195393,493359,9718,30131,26842,2742,0,0,547,0,56555,8096,422182,275017,143975,131042,30871,13783,103059,9512,2448,7111,0,83988,19579,18524,6648,25172,850,0,17352856,121,342
